ID,Scene,Exact Scene,Character,Situation Name,Text,Emotion
MENU-0037,Common,Random Comment(s),The Librarian,CHATS-04,"You know, THAAAT one!",Locked in
MENU-0038,Common,Random Comment(s),The Librarian,CHATS-05,"We have all sort of artifacts, we don't know exactly where they all came from, or when they where from.",Happy
MENU-0039,Common,Random Comment(s),The Librarian,CHATS-06,When will that annoying dog stop barking!!,Annoyed
MENU-0040,Common,Random Comment(s),The Librarian,CHATS-07,DUST DUST DUST THERE IS ALWAYS TO MUCH DUST!!!,Annoyed
MENU-0041,Common,Random Comment(s),The Librarian,CHATS-08,"Do you know anyone that could fix this creaking floor?
",Confused
MENU-0042,Common,Random Comment(s),The Librarian,CHATS-08,"Never mind, it’s cheaper if I do it myself.",Sighing
MENU-0043,Common,Random Comment(s),The Librarian,CHATS-09,"You know I love history and all...
",Serious
MENU-0044,Common,Random Comment(s),The Librarian,CHATS-09,But it is a hard hobby to get into.,Serious
MENU-0045,Common,Random Comment(s),The Librarian,CHATS-09,IT NEVER ENDS!!,Annoyed
MENU-0046,Common,Random Comment(s),The Librarian,CHATS-10,(Hums a tune),Happy
MENU-0047,Common,Random Comment(s),The Librarian,CHATS-10,♪I nana be near hmm hmm♪,Happy
MENU-0048,Common,Random Comment(s),The Librarian,CHATS-10,I keep forgetting those lyrics.,Dazed
MENU-0049,Common,Random Comment(s),The Librarian,CHATS-11,"The next secret you find better be a Walkie Talkie
",Happy
MENU-0050,Common,Random Comment(s),The Librarian,CHATS-11,"Cause’ im getting kinda lonely in here
",Sighing
MENU-0051,Common,Random Comment(s),The Librarian,CHATS-12,You like the way I play?,Happy
MENU-0052,Common,Random Comment(s),The Librarian,CHATS-12,I certainly do! Hahaha!,Laughing
MENU-0053,Common,Random Comment(s),The Librarian,CHATS-13,Books have always been a vital part of my life.,Thoughtful
MENU-0054,Common,Random Comment(s),The Librarian,CHATS-13,At least that's what I've been lead to believe,Sighing
MENU-0055,Common,Random Comment(s),The Librarian,CHATS-14,"Look, over there!!",Shocked
MENU-0056,Common,Random Comment(s),The Librarian,CHATS-14,What? There's nothing?,Confused
MENU-0057,Common,Random Comment(s),The Librarian,CHATS-14,Must've made it up in my mind then... My bad!!,Cheerful
MENU-0058,Common,Random Comment(s),The Librarian,CHATS-15,Ready for your next literary adventure? I sure am!!,Cheerful
MENU-0059,Common,Random Comment(s),The Librarian,CHATS-16,Not many people visit this place anymore.,Thoughtful
MENU-0060,Common,Random Comment(s),The Librarian,CHATS-16,"Yet those who do, become recurrent visitors.",Happy
MENU-0061,Common,Random Comment(s),The Librarian,CHATS-17,The universe can look so big sometimes.,Dazed
MENU-0062,Common,Random Comment(s),The Librarian,CHATS-17,But no matter how far you zoom out... It's always the small things that impact you the most ain't it?,Smirk
MENU-0063,Common,Random Comment(s),The Librarian,CHATS-18,"The demon with the horns, the adventurer with the goggles and the lost girl...",Thoughtful
MENU-0064,Common,Random Comment(s),The Librarian,CHATS-19,You don't like this piece?,Confused
MENU-0065,Common,Random Comment(s),The Librarian,CHATS-19,"To bad, I LIIIIIKE IT!!",Cheerful
MENU-0066,Rare,Random Comment(s),The Librarian,CHATS-20,One of the things we hold has a lot of power.,Serious
MENU-0067,Rare,Random Comment(s),The Librarian,CHATS-20,"Well, they all do in a sense.",Sighing
MENU-0068,Rare,Random Comment(s),The Librarian,CHATS-20,"Don't put too much of your mind into it,",Locked in
MENU-0069,Rare,Random Comment(s),The Librarian,CHATS-20,or else nothing in here will make any sense!,Happy
MENU-0070,Rare,Random Comment(s),The Librarian,CHATS-21,Sweet mother of Swuno!,Dreadful
MENU-0071,Rare,Random Comment(s),The Librarian,CHATS-21,Sorry... ,Ashamed
MENU-0072,Rare,Random Comment(s),The Librarian,CHATS-21,Saw a bug in between the keys!,Cheerful
MENU-0073,Rare,Random Comment(s),The Librarian,CHATS-22,The betrayal that took place in that civil war is definitely an interesting one.,Serious
MENU-0074,Rare,Random Comment(s),The Librarian,CHATS-22,Too bad the wrong side was crowned victor...,Ashamed
MENU-0075,Rare,Random Comment(s),The Librarian,CHATS-23,"The bell outside this place constantly ""Chimes""!",Laughing
MENU-0076,Rare,Random Comment(s),The Librarian,CHATS-23,I wonder why people call me cheesy.,Sighing
MENU-0077,Rare,Random Comment(s),The Librarian,CHATS-24,Tales about siblings...,Thoughtful
MENU-0078,Rare,Random Comment(s),The Librarian,CHATS-24,Haven't heard that in a while...,Sarcasm
MENU-0079,Rare,Random Comment(s),The Librarian,CHATS-25,Books in here are extremely old.,Thoughtful
MENU-0080,Rare,Random Comment(s),The Librarian,CHATS-25,"In fact,",Serious
MENU-0081,Rare,Random Comment(s),The Librarian,CHATS-25,you're standing in front of one of the oldest tales in the entirety of the universe!,Cheerful
MENU-0082,Rare,Random Comment(s),The Librarian,CHATS-25,(at least that I know of...),Thoughtful
MENU-0083,Rare,Random Comment(s),The Librarian,CHATS-26,Why would anything in this place make sense...,Shadow
MENU-0084,Rare,Random Comment(s),The Librarian,CHATS-26,It all feels so pointless.,Shadow
MENU-0085,Rare,Random Comment(s),The Librarian,CHATS-27,"Don't ask me about anyone outside this place,",Confused
MENU-0086,Rare,Random Comment(s),The Librarian,CHATS-27,I will barely remember your face once you're gone!,Cheerful
MENU-0087,Rare,Random Comment(s),The Librarian,CHATS-28,How...,Curious
MENU-0088,Rare,Random Comment(s),The Librarian,CHATS-28,How does everything look out there?,Curious
MENU-0089,Rare,Random Comment(s),The Librarian,CHATS-28,Must be real pretty!,Cheerful
MENU-0090,Rare,Random Comment(s),The Librarian,CHATS-29,…Life,Sighing
MENU-0091,Rare,Random Comment(s),The Librarian,CHATS-29,Is a bit too much sometimes huh?,Upset smile
MENU-0092,Rare,Random Comment(s),The Librarian,CHATS-29,"But stop trying to run from it.
",Shadow
MENU-0093,Rare,Random Comment(s),The Librarian,CHATS-29,At least you can…,Upset smile
MENU-0094,Rare,Random Comment(s),The Librarian,CHATS-29,"You are a nice kid with a good life
",Happy
MENU-0095,Rare,Random Comment(s),The Librarian,CHATS-29,...,Looking downwards
MENU-0096,Rare,Random Comment(s),The Librarian,CHATS-29,Try to live it.,Upset smile
MENU-0097,Rare,Random Comment(s),The Librarian,CHATS-30,Lovely weather outside isn't it?,Happy
MENU-0098,Rare,Random Comment(s),The Librarian,CHATS-30,Haha! I'm just kidding.,Laughing
MENU-0099,Rare,Random Comment(s),The Librarian,CHATS-30,I wouldn't be able to know.,Upset smile
MENU-0100,Rare,Random Comment(s),The Librarian,CHATS-30,"Oh! Sorry, I have some allergies.",Shocked
MENU-0101,Strange,Random Comment(s),The Librarian,CHATS-31,When will I be free again...,Shadow
MENU-0102,Strange,Random Comment(s),The Librarian,CHATS-32,Reading all the time makes me wonder...,Thoughtful
MENU-0103,Strange,Random Comment(s),The Librarian,CHATS-32,"if I were able to freely roam outside of this place,",Thoughtful
MENU-0104,Strange,Random Comment(s),The Librarian,CHATS-32,would I have made a difference? ,Upset smile
MENU-0105,Strange,Random Comment(s),The Librarian,CHATS-32,You know...,Shadow
MENU-0106,Strange,Random Comment(s),The Librarian,CHATS-32,Maybe things would still be as they once were.,Shadow
MENU-0107,Strange,Random Comment(s),The Librarian,CHATS-33,Could he be right? Is it all just pain??,Shadow
MENU-0108,Strange,Random Comment(s),The Librarian,CHATS-34,Something I haaate about this collection is how empty it seems.,Bored
MENU-0109,Strange,Random Comment(s),The Librarian,CHATS-35,...hey I've noticed you're a bit of an avid reader like me.,Curious
MENU-0110,Strange,Random Comment(s),The Librarian,CHATS-35,...,Serious
MENU-0111,Strange,Random Comment(s),The Librarian,CHATS-35,"Don't you feel like no matter what you read or learn, it seems like it's never enough...?",Upset smile
MENU-0112,Strange,Random Comment(s),The Librarian,CHATS-36,I miss someone.,Upset
MENU-0113,Strange,Random Comment(s),The Librarian,CHATS-36,"Who that someone is remains uncertain,",Shadow
MENU-0114,Strange,Random Comment(s),The Librarian,CHATS-36,but probably they meant a lot to my former self. Don't you think...?,Upset smile
MENU-0115,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-00,The one-winged demon far above the sky.,Smirk
MENU-0116,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-00,He who aling his wrath imposed fear upon thousands of generations.,Smirk
MENU-0117,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-00,"Loner in nature, a lot of people might relate!!",Cheerful
MENU-0118,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-01,"Right at the start, I like you already!",Cheerful
MENU-0119,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-01,"Don't take this story for granted, it might be important in the future!!",Curious
MENU-0120,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-01,Hehe...,Smirk
MENU-0121,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-02,Desivinte. His name still sends chills down anyone's spine.,Serious
MENU-0122,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-03,Hey!,Cheerful
MENU-0123,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-03,Spoiler alert...He-,Curious
MENU-0124,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-03,What?,Confused
MENU-0125,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-03,No spoilers??,Shocked
MENU-0126,Interaction,Interact with DESIVINTE_BOOK,The Librarian,DESIV-03,Alright...,Annoyed
MENU-0127,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-00,Eager explorer always ready for his next adventure.,Cheerful
MENU-0128,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-00,"Hope you're one of those!! If so, you'll definitely like this one.",Happy
MENU-0129,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-01,"This one includes romance, journeys and...",Locked in
MENU-0130,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-01,DRAMA!?!?,Shocked
MENU-0131,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-01,Are you even into that...,Annoyed
MENU-0132,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-02,"An easy read, for sure! ",Cheerful
MENU-0133,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-02,Yet...,Happy
MENU-0134,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-02,I still feel heartbroken from a lot of things that happened in the story.,Looking downwards
MENU-0135,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-03,Hey!,Cheerful
MENU-0136,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-03,Spoiler alert...He-,Curious
MENU-0137,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-03,What?,Confused
MENU-0138,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-03,No spoilers??,Shocked
MENU-0139,Interaction,Interact with KATHJULES_BOOK,The Librarian,KATHJ-03,Alright...,Annoyed
MENU-0140,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-00,...,Shadow
MENU-0141,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-00,you finally made it,Sighing
MENU-0142,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-00,I didn't think anybody would be as interested in this as me,Smirk
MENU-0143,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-01,"Th-this was the hardest one to read, but in the end she was just like me.",Sighing
MENU-0144,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-02,...Hetheline. A brave soldier that had no idea what she was up against.,Proud
MENU-0145,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-03,Hey!,Cheerful
MENU-0146,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-03,Spoiler alert...She-,Curious
MENU-0147,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-03,What?,Confused
MENU-0148,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-03,No spoilers??,Shocked
MENU-0149,Interaction,Interact with HETHELINE_BOOK,The Librarian,HETHE-03,Well I mean you basically already know all the major details...,Smirk
MENU-0150,Interaction,Hover over SWORD_EXIT,The Librarian,INTER-00,It never truly was perfect...,None
MENU-0151,Interaction,Hover over SWORD_EXIT,The Librarian,INTER-01,The blood it retained.,None
MENU-0152,Interaction,Hover over SWORD_EXIT,The Librarian,INTER-01,I didn't know how much pain a weapon could hold.,None
MENU-0153,Interaction,Hover over SWORD_EXIT,The Librarian,INTER-02,Look at how... How sharp it still kooks.,None
MENU-0154,Interaction,Hover over SWORD_EXIT,The Librarian,INTER-02,No wonder it was used for so long.,None
MENU-0155,Interaction,Hover over CRYSTAL_OBJECT,The Librarian,INTER-03,A lot of people don't have this anymore.,None
MENU-0156,Interaction,Hover over CRYSTAL_OBJECT,The Librarian,INTER-04,DON'T!!!!,None
MENU-0157,Interaction,Hover over CRYSTAL_OBJECT,The Librarian,INTER-04,touch that…,None
MENU-0158,Interaction,Hover over CANDLES_OBJECT,The Librarian,INTER-05,"A light, the burning light",None
MENU-0159,Interaction,Hover over CANDLES_OBJECT,The Librarian,INTER-05,A reflection of a living being's soul.,None
MENU-0160,Interaction,Hover over CANDLES_OBJECT,The Librarian,INTER-05,Poetic huh?,None
MENU-0161,Interaction,Hover over CANDLES_OBJECT,The Librarian,INTER-06,"You should avoid touching it, isn't it burning hot?",None
MENU-0162,Interaction,Hover over CANDLES_OBJECT,The Librarian,INTER-07,"This part of the library, the fact it's only being lit by this small candles says a lot about this place.",None
MENU-0163,Interaction,Repetitive touch CANDLES_OBJECT,The Librarian,INTER-08,Stop touching it!?,None
MENU-0164,Interaction,Repetitive touch CANDLES_OBJECT,The Librarian,INTER-08,Dosen't it hurt??,None
MENU-0165,Interaction,Hover over BANDANA_ACHIEVEMENTS,The Librarian,INTER-09,I like the changes,None
MENU-0166,Interaction,Hover over BANDANA_ACHIEVEMENTS,The Librarian,INTER-09,Too bad the rest of it was burned,None
MENU-0167,Interaction,Hover over BANDANA_ACHIEVEMENTS,The Librarian,INTER-10,"I wouldn't put it on if I were you,",None
MENU-0168,Interaction,Hover over BANDANA_ACHIEVEMENTS,The Librarian,INTER-10,it really hasn't been used in years! ,None
MENU-0169,Interaction,Hover over BANDANA_ACHIEVEMENTS,The Librarian,INTER-10,Wonder how people got it back in the first place.,None
MENU-0170,Interaction,Hover over HAMMER_ARCADE,The Librarian,INTER-11,"Deeply elegant in its nature, truly a disappointment that its wielder turned out to be such a bum.",None
MENU-0171,Interaction,Hover over HAMMER_ARCADE,The Librarian,INTER-12,"It still amazes me how much power it could hold, far beyond the concept of the universe yet was never used to its true potential.",None
MENU-0172,Interaction,Hover over HAMMER_ARCADE,The Librarian,INTER-13,Pristine condition! ,None
MENU-0173,Interaction,Hover over HAMMER_ARCADE,The Librarian,INTER-13,Besides the dents left by that one time a soldier held back against its blow.,None
MENU-0174,Interaction,Hover over GOGGLES_SETTINGS,The Librarian,INTER-14,Do they even work?,None
MENU-0175,Interaction,Hover over GOGGLES_SETTINGS,The Librarian,INTER-14,They seem pretty uncomfortable to wear.,None
MENU-0176,Interaction,Hover over GOGGLES_SETTINGS,The Librarian,INTER-15,Probably just a gimmick for the person who wore them.,None
MENU-0177,Interaction,Hover over GOGGLES_SETTINGS,The Librarian,INTER-16,"They're so big, why would anyone craft this thing??",None
MENU-0178,Interaction,Hover over RUNE_OBJECT,The Librarian,INTER-17,"Don't get too attached, or else something might take over your BOOODY...",None
MENU-0179,Interaction,Hover over RUNE_OBJECT,The Librarian,INTER-17,HA! ,None
MENU-0180,Interaction,Hover over RUNE_OBJECT,The Librarian,INTER-17,You thought I was serious?!,None
MENU-0181,Interaction,Hover over RUNE_OBJECT,The Librarian,INTER-17,Nobody actually knows what this ones for anyway,None
MENU-0182,Interaction,Hover over RUNE_OBJECT,The Librarian,INTER-18,"I should really clean these shelves, shouldn't I?",None
MENU-0183,Up shelf,Random Comment(s),The Librarian,INTER-19,"Personally, I don't  think anyone besides YOU has ever seen what's there.",Sarcasm
MENU-0184,Up shelf,Random Comment(s),The Librarian,CHATS-37,Any dead creatures I should know about?,Curious
MENU-0185,Up shelf,Random Comment(s),The Librarian,CHATS-37,I'm just kidding!!,Cheerful
MENU-0186,Up shelf,Random Comment(s),The Librarian,CHATS-38,Need help reaching the top?,Curious
MENU-0187,Up shelf,Random Comment(s),The Librarian,CHATS-39,Is there really anything interesting up there? Oh there is?,Curious
MENU-0188,Up shelf,Random Comment(s),The Librarian,CHATS-39,No?,Shocked
MENU-0189,Up shelf,Random Comment(s),The Librarian,CHATS-39,Then I misheard you.,Ashamed
MENU-0190,Down shelf,Random Comment(s),The Librarian,CHATS-40,WHAT!! How... how did that one get here...,Shocked
MENU-0191,Down shelf,Random Comment(s),The Librarian,CHATS-41,Oh that?!,Shocked
MENU-0192,Down shelf,Random Comment(s),The Librarian,CHATS-41,I'm not even sure it's real. Nobody knows where it came from...,Dazed
MENU-0193,Down shelf,Random Comment(s),The Librarian,CHATS-41,You really shoudn't read that one... It's not worth YOUR time.,Serious
MENU-0194,Down shelf,Random Comment(s),The Librarian,CHATS-42,"It has this weird myst surrounding it, dont you think?",Thoughtful
MENU-0195,Interaction,Finish Desivinte Part I,The Librarian,DESIV-04,"And to say that the saga is just starting! Crazy, right?",Cheerful
MENU-0196,Interaction,Finish Desivinte Part II,The Librarian,DESIV-04,"If I could only tell you what happens next, but I wouldn't want to spoil that for you!",Happy
MENU-0197,Interaction,Finish Kath-Jules Part I,The Librarian,KATHJ-04,These stories let us know that purpose is probably something that is definitely found from within.,Proud
MENU-0198,Interaction,Finish Kath-Jules Part II,The Librarian,KATHJ-04,If it all could've just ended there...,Shadow
MENU-0199,Interaction,Finish Hetheline Part I,The Librarian,HETHE-04,...pain,Shadow
MENU-0200,Interaction,Finish Hetheline Part I,The Librarian,HETHE-04,Like if I haven't heard enough of that...,Sarcasm
MENU-0201,Interaction,Finish Hetheline Part II,The Librarian,HETHE-05,And it all went downhill from there,Shadow
MENU-0202,Interaction,About to exit,The Librarian,INTER-20,"No! Don't leave,",Shocked
MENU-0203,Interaction,About to exit,The Librarian,INTER-20,I haven't finished the tale for the asleep!,Sarcasm
MENU-0204,Interaction,About to exit,The Librarian,INTER-21,I knew it...,Disappointed
MENU-0205,Interaction,About to exit,The Librarian,INTER-21,Nobody likes books as much as I do!,Sarcasm
MENU-0206,Interaction,About to exit,The Librarian,INTER-22,Farewell avid reader!,Cheerful
MENU-0207,Interaction,About to exit,The Librarian,INTER-22,If you could call yourself that...,Looking downwards
MENU-0208,Interaction,About to exit,The Librarian,INTER-23,No please! Don't leave!,Dreadful
MENU-0209,Interaction,About to exit,The Librarian,INTER-23,"Well, I probably won't remember your face anyway!",Smirk
MENU-0210,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-05,Do you like quirkiness?,Thoughtful
MENU-0211,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-05,Because I know a bunch of quirky gents...,Cheerful
MENU-0212,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-06,Ha! You'll ADOOORE this one!,Cheerful
MENU-0213,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-06,Well... At least I hope you do.,Laughing
MENU-0214,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-06,No?,Thoughtful
MENU-0215,Interaction,Unlocks Kath Jules,The Librarian,KATHJ-06,Dang it... I really gotta stop being so cheesy,Looking downwards
MENU-0216,Interaction,Unlocks Hetheline,The Librarian,HETHE-06,(Stops playing) Do you play any instruments?,Curious
MENU-0217,Interaction,Unlocks Hetheline,The Librarian,HETHE-07,Oh that’s splendid!! ,Cheerful
MENU-0218,Interaction,Unlocks Hetheline,The Librarian,HETHE-07,At first I wasn’t much of a musician.,Happy
MENU-0219,Interaction,Unlocks Hetheline,The Librarian,HETHE-07,But as time wore on I grew to love its beauty and power.,Cheerful
MENU-0220,Interaction,Unlocks Hetheline,The Librarian,HETHE-08,"Hmmm, that’s too bad. 
",Ashamed
MENU-0221,Interaction,Unlocks Hetheline,The Librarian,HETHE-08,I hope one day you could try it… music can give you so much.,Happy
MENU-0222,Interaction,All books completed,The Librarian,CHATS-42,"These stories end
",Shadow
MENU-0223,Interaction,All books completed,The Librarian,CHATS-42,…,Shadow
MENU-0224,Interaction,All books completed,The Librarian,CHATS-42,"But ours just began.
",Smirk
MENU-0225,Interaction,Easter Egg D_&_B,The Librarian,CHATS-43,Who are those two?,Shocked
MENU-0226,Interaction,Easter Egg D_&_B,The Librarian,CHATS-43,Some kind of Dolly and Button?,Curious
MENU-0227,Interaction,Easter Egg D_&_B,The Librarian,CHATS-44,...,Smirk
MENU-0228,Interaction,Easter Egg D_&_B,The Librarian,CHATS-44,A tale of a good and a wicked witch...,Curious
MENU-0229,Interaction,Easter Egg D_&_B,The Librarian,CHATS-44,Wonder if we have something like that over here...,Curious
MENU-0230,Interaction,Easter Egg D_&_B,The Librarian,CHATS-44,...,Smirk
MENU-0231,Interaction,Interact with DESIVINTE_BOOK_PT_TWO locked,The Librarian,DESIV-05,"You know, I think it's better if you read the first part...",Sighing
MENU-0232,Interaction,Interact with DESIVINTE_BOOK_PT_TWO locked,The Librarian,DESIV-05,"well, first. (Duuhhh)",Annoyed
MENU-0233,Interaction,Interact with KATHJULES_BOOK_PT_ONE locked,The Librarian,KATHJ-07,I think you aren't ready for that one yet.,Serious
MENU-0234,Interaction,Interact with KATHJULES_BOOK_PT_ONE locked,The Librarian,KATHJ-07,"Why? Well, just because!",Laughing
MENU-0235,Interaction,Interact with KATHJULES_BOOK_PT_ONE locked,The Librarian,KATHJ-07,"No but seriously, you'll enjoy this one better if you know a bit of background info first.",Serious
MENU-0236,Interaction,Interact with KATHJULES_BOOK_PT_TWO locked,The Librarian,KATHJ-08,Do you really want to read this part already?,Shocked
MENU-0237,Interaction,Interact with KATHJULES_BOOK_PT_TWO locked,The Librarian,KATHJ-08,Don't you want to wait a little bit more?,Thoughtful
MENU-0238,Interaction,Interact with HETHELINE_BOOK_PT_ONE locked,The Librarian,HETHE-09,"Trust me, I love this story as much as you'll get to love it.",Happy
MENU-0239,Interaction,Interact with HETHELINE_BOOK_PT_ONE locked,The Librarian,HETHE-09,"Just, wait a bit more.",Serious
MENU-0240,Interaction,Interact with HETHELINE_BOOK_PT_ONE locked,The Librarian,HETHE-09,Okay?,Serious
MENU-0241,Interaction,Interact with HETHELINE_BOOK_PT_TWO locked,The Librarian,HETHE-10,This one's my favorite.,Happy
MENU-0242,Interaction,Interact with HETHELINE_BOOK_PT_TWO locked,The Librarian,HETHE-10,But I don't think you're ready to read the final book on this shelf.,Serious
MENU-0243,Interaction,Repetitive touch locked_books,The Librarian,INTER-24,Need I say more?,Irritated
MENU-2220,Rare,Random Comment(s),The Librarian,CHATS-45,I'll be right back.,Shadow
